これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「コピー」は何？,1,command + C,option + C,command + option + C,shift + C
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「カット」は何？,1,command + X,option + X,command + option + X,shift + X
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「ペースト」は何？,4,option + V,command + V,shift + V,command + shift + V
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「ひとつ戻す」は何？,3,shift + Z,command + shift + Z,command + Z,option + Z
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「ひとつ進む」は何？,2,shift + Z,command + shift + Z,command + Z,option + Z
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「自由変形」は何？,2,command + T,command + shift + T,shift + T,option + T
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「パスを複製」は何？,3,option + P,option + C,option + ドラッグ,option + R
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「移動ツール」は何？,4,M,option + M,command + M,V
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「パス選択ツール」は何？,3,option + A,command + option + A,A,shift + A
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「なげなわツール」は何？,2,option + L,L,command + option + L,command + L
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「オブジェクトの選択ツール」は何？,1,W,C,S,O
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「切り抜きツール」は何？,1,C,option + C,command + C,shift + C
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「スポイトツール」は何？,2,S,I,option + S,command + S
これは【Photoshop】のショートカットキーのクイズです。全部で【39問】あります。[改行][改行]Macを基準にしています。Windowsユーザーは「command」を「control」に置き換えてください。[改行][改行]「修正ブラシツール」は何？,4,option + J,command + J,command + option + J,J
