これはPremiere Proのショートカットキークイズです。「保存」は何？,4,かめ,ウサギ,キリン,Cmd + S
これはPremiere Proのショートカットキークイズです。「別名で保存」は何？,1,Cmd + Shift + S,サイダー,オレンジ,ピーチ
これはPremiere Proのショートカットキークイズです。「メディア読み込み」は何？,3,リンゴ,かき,Cmd + I,ホットケーキ
これはPremiere Proのショートカットキークイズです。「メディア書き出し」は何？,4,いのしし,ぞう,さい,Cmd + M
これはPremiere Proのショートカットキークイズです。「Premiere Pro　終了」は何？,2,こおり,Cmd + Q,ふぶき,れいぞうこ
これはPremiere Proのショートカットキークイズです。「新規シーケンス作成」は何？,1,Cmd + N,あい,うえ,かき
これはPremiere Proのショートカットキークイズです。「取り消し」は何？,3,あい,うえ,Cmd + Z,かき
これはPremiere Proのショートカットキークイズです。「やり直し」は何？,2,あい,Cmd + Shift + Z,うえ,かき
これはPremiere Proのショートカットキークイズです。「切り取り」は何？,4,あい,うえ,かき,Cmd + X
これはPremiere Proのショートカットキークイズです。「コピー」は何？,3,あい,うえ,Cmd + C,かき
これはPremiere Proのショートカットキークイズです。「ペースト」は何？,2,あい,Cmd + V,うえ,かき
これはPremiere Proのショートカットキークイズです。「インサートペースト」は何？,3,あい,うえ,Cmd + shift + V,かき
これはPremiere Proのショートカットキークイズです。「複製」は何？,1,Cmd + shift + /,あい,うえ,かき
これはPremiere Proのショートカットキークイズです。「消去」は何？,4,あい,うえ,かき,Delete
これはPremiere Proのショートカットキークイズです。「全て選択」は何？,1,Cmd + A,あい,うえ,かき
これはPremiere Proのショートカットキークイズです。「ワークエリアでエフェクトをレンダリング」は何？,1,return,あい,うえ,かき
これはPremiere Proのショートカットキークイズです。「編集点を追加」は何？,2,あい,Cmd + K,うえ,かき
これはPremiere Proのショートカットキークイズです。「編集点をすべてのトラックに追加」は何？,3,あい,うえ,Cmd + Shift + K,かき
これはPremiere Proのショートカットキークイズです。「再生 / 停止」は何？,3,あい,うえ,Space,かき
これはPremiere Proのショートカットキークイズです。「消去」は何？,2,あい,Delete,うえ,かき
これはPremiere Proのショートカットキークイズです。「ビデオトランジションを適用」は何？,1,Cmd + D,あい,うえ,かき
これはPremiere Proのショートカットキークイズです。「オーディオトランジションを適用」は何？,4,あい,うえ,かき,Cmd + Shift + D
これはPremiere Proのショートカットキークイズです。「インをマーク」は何？,3,あい,うえ,I,かき
これはPremiere Proのショートカットキークイズです。「アウトをマーク」は何？,4,あい,うえ,かき,O
これはPremiere Proのショートカットキークイズです。「マーカーを追加」は何？,4,あい,うえ,かき,M
これはPremiere Proのショートカットキークイズです。「横書きテキストツール」は何？,3,あい,うえ,Cmd + T,かき
これはPremiere Proのショートカットキークイズです。「長方形」は何？,2,あい,Option + Cmd + R,うえ,かき
これはPremiere Proのショートカットキークイズです。「楕円形」は何？,2,あい,Option + Cmd + E,うえ,かき
これはPremiere Proのショートカットキークイズです。「選択項目を削除」は何？,1,Delete,あい,うえ,かき
これはPremiere Proのショートカットキークイズです。「選択したクリップを左に 5 フレーム移動」は何？,3,あい,うえ,Shift + Cmd + →,かき
これはPremiere Proのショートカットキークイズです。「選択したクリップを左に 1 フレーム移動」は何？,4,あい,うえ,かき,Cmd + →
これはPremiere Proのショートカットキークイズです。「選択したクリップを右に 5 フレーム移動」は何？,3,あい,うえ,Shift + Cmd + ←,かき
これはPremiere Proのショートカットキークイズです。「選択したクリップを右に 1 フレーム移動」は何？,1,Cmd + ←,あい,うえ,かき
これはPremiere Proのショートカットキークイズです。「選択ツール」は何？,1,V,あい,うえ,かき
これはPremiere Proのショートカットキークイズです。「トラックの前方選択ツール」は何？,4,あい,うえ,かき,A
これはPremiere Proのショートカットキークイズです。「リップルツール」は何？,2,あい,B,うえ,かき
これはPremiere Proのショートカットキークイズです。「レーザーツール」は何？,2,あい,C,うえ,かき
これはPremiere Proのショートカットキークイズです。「ペンツール」は何？,3,あい,うえ,P,かき
これはPremiere Proのショートカットキークイズです。「ハンドツール」は何？,3,あい,うえ,H,かき
