これはPhotoshopのショートカットキークイズです。「コピー」は何？,1,⌘ + C,あい,うえ,かき
これはPhotoshopのショートカットキークイズです。「カット」は何？,1,⌘ + X,あい,うえ,かき
これはPhotoshopのショートカットキークイズです。「ペースト」は何？,4,あい,うえ,かき,⌘ + V
これはPhotoshopのショートカットキークイズです。「ひとつ戻す」は何？,3,あい,うえ,⌘ + Z,かき
これはPhotoshopのショートカットキークイズです。「ひとつ進む」は何？,2,あい,⌘ + ⇧ + Z,うえ,かき
これはPhotoshopのショートカットキークイズです。「自由変形」は何？,2,あい,⌘ + ⇧ + T,うえ,かき
これはPhotoshopのショートカットキークイズです。「パスを複製」は何？,3,あい,うえ,option + ドラッグ,かき
これはPhotoshopのショートカットキークイズです。「移動ツール」は何？,4,あい,うえ,かき,V
これはPhotoshopのショートカットキークイズです。「パス選択ツール」は何？,3,あい,うえ,A,かき
これはPhotoshopのショートカットキークイズです。「なげなわツール」は何？,2,あい,L,うえ,かき
これはPhotoshopのショートカットキークイズです。「オブジェクトの選択ツール」は何？,1,W,あい,うえ,かき
これはPhotoshopのショートカットキークイズです。「切り抜きツール」は何？,1,C,あい,うえ,かき
これはPhotoshopのショートカットキークイズです。「スポイトツール」は何？,2,あい,I,うえ,かき
これはPhotoshopのショートカットキークイズです。「修正ブラシツール」は何？,4,あい,うえ,かき,J
これはPhotoshopのショートカットキークイズです。「ブラシツール」は何？,4,あい,うえ,かき,B
これはPhotoshopのショートカットキークイズです。「消しゴムツール」は何？,4,あい,うえ,かき,E
これはPhotoshopのショートカットキークイズです。「グラデーションツール」は何？,3,あい,うえ,G,かき
これはPhotoshopのショートカットキークイズです。「ペンツール」は何？,3,あい,うえ,P,かき
これはPhotoshopのショートカットキークイズです。「テキストツール」は何？,2,あい,T,うえ,かき
これはPhotoshopのショートカットキークイズです。「手のひらツール」は何？,1,H,あい,うえ,かき
これはPhotoshopのショートカットキークイズです。「ズームツール」は何？,4,あい,うえ,かき,Z
これはPhotoshopのショートカットキークイズです。「回転ビューツール」は何？,3,あい,うえ,R,かき
これはPhotoshopのショートカットキークイズです。「文字を移動」は何？,2,あい,⌘ + ← or →,うえ,かき
これはPhotoshopのショートカットキークイズです。「カーニングor文字間隔の調整」は何？,1,⌥+カーソル（左右上下）,あい,うえ,かき
これはPhotoshopのショートカットキークイズです。「文字サイズの変更」は何？,1,⇧ + ⌘ + < or >,あい,うえ,かき
これはPhotoshopのショートカットキークイズです。「ベースラインの変更」は何？,3,あい,うえ,⇧ + ⌥ + ▲ or ▼,かき
これはPhotoshopのショートカットキークイズです。「文字の選択解除」は何？,2,あい,esc,うえ,かき
これはPhotoshopのショートカットキークイズです。「文字の左揃え」は何？,2,あい,⌘ + ⇧ + L,うえ,かき
これはPhotoshopのショートカットキークイズです。「文字の中央揃え」は何？,2,あい,⌘ + ⇧ + C,うえ,かき
これはPhotoshopのショートカットキークイズです。「文字の右揃え」は何？,2,あい,⌘+⇧+R,うえ,かき
これはPhotoshopのショートカットキークイズです。「レイヤーをロック」は何？,4,あい,うえ,かき,/
これはPhotoshopのショートカットキークイズです。「レイヤーを移動」は何？,3,あい,うえ,⌘ + [ or ],かき
これはPhotoshopのショートカットキークイズです。「フォーカスするレイヤーを変更」は何？,3,あい,うえ,⇧ + [ or ],かき
これはPhotoshopのショートカットキークイズです。「拡大」は何？,2,あい,⌘ + +,うえ,かき
これはPhotoshopのショートカットキークイズです。「縮小」は何？,2,あい,⌘ + –,うえ,かき
これはPhotoshopのショートカットキークイズです。「100%等倍で表示」は何？,1,⌘ + 1,あい,うえ,かき
これはPhotoshopのショートカットキークイズです。「画面サイズに拡大」は何？,4,あい,うえ,かき,⌘ + 0
これはPhotoshopのショートカットキークイズです。「定規の表示/非表示」は何？,3,あい,うえ,⌘ + R,かき
これはPhotoshopのショートカットキークイズです。「ツールバーとパレットの表示/非表示」は何？,3,あい,うえ,Tab,かき
